epoch,train_c_loss,train_c_accuracy,val_c_loss,val_c_accuracy,test_c_loss,test_c_accuracy
0,1.86857282828,0.41109751506,4.72619082188,0.117995689655,-1,-1
1,1.43548910733,0.534309111446,1.75038455067,0.49380387931,-1,-1
2,1.19316619132,0.604739269578,1.08550042325,0.636179956897,-1,-1
3,1.04619821583,0.644554781627,1.09096987597,0.630253232759,-1,-1
4,0.945263542684,0.677428463855,0.915283913242,0.692214439655,-1,-1
5,0.855634415545,0.704701618976,0.900367889939,0.695447198276,-1,-1
6,0.800389372441,0.72366810994,0.796296808226,0.731276939655,-1,-1
7,0.745216440724,0.74421121988,0.852774759819,0.721443965517,-1,-1
8,0.701819103615,0.756518260542,0.916182204567,0.693426724138,-1,-1
9,0.673478621855,0.765483810241,0.867289739436,0.710802801724,-1,-1
10,0.635567922818,0.777979103916,0.704398561141,0.761045258621,-1,-1
11,0.600080775209,0.788803652108,0.697218024011,0.774515086207,-1,-1
12,0.570809082813,0.800051769578,0.650375864115,0.777747844828,-1,-1
13,0.544283580439,0.80805252259,0.754870911097,0.755926724138,-1,-1
14,0.522828462971,0.815017884036,0.761014623375,0.751212284483,-1,-1
15,0.501397324075,0.822477409639,0.955084842855,0.715113146552,-1,-1
16,0.479462213455,0.830336972892,0.693652730564,0.77572737069,-1,-1
17,0.461383926312,0.837443524096,0.751183334096,0.765759698276,-1,-1
18,0.437966319452,0.845561935241,0.697968131509,0.780576508621,-1,-1
19,0.42152380858,0.850174134036,0.624466997282,0.793776939655,-1,-1
20,0.402775540723,0.856292356928,0.647355146963,0.798895474138,-1,-1
21,0.384313129876,0.864269578313,0.63503143551,0.805091594828,-1,-1
22,0.377732116549,0.864410768072,0.699705327379,0.783270474138,-1,-1
23,0.358256880957,0.870270143072,0.715056552969,0.790409482759,-1,-1
24,0.346461575478,0.875635353916,0.700123279259,0.791621767241,-1,-1
25,0.332403147391,0.88031814759,0.615303029274,0.809671336207,-1,-1
26,0.31830140854,0.884247929217,0.642483971756,0.803340517241,-1,-1
27,0.307819750743,0.889754329819,0.693550823064,0.794719827586,-1,-1
28,0.30396472914,0.890742658133,0.744069780769,0.788389008621,-1,-1
29,0.291658502297,0.894766566265,0.624472389961,0.809132543103,-1,-1
30,0.283137077084,0.89850809488,0.705893865947,0.800646551724,-1,-1
31,0.27170784574,0.900837725904,0.858076605304,0.759024784483,-1,-1
32,0.263624205063,0.904485128012,0.706391879711,0.805091594828,-1,-1
33,0.255654130759,0.906838290663,0.679897005702,0.805899784483,-1,-1
34,0.242508169533,0.912791792169,0.694993414756,0.806034482759,-1,-1
35,0.244831562446,0.911662274096,0.631367049854,0.818561422414,-1,-1
36,0.229291483311,0.917239269578,0.681997432277,0.81021012931,-1,-1
37,0.228000216994,0.917403990964,0.709669982565,0.806707974138,-1,-1
38,0.223003066156,0.919615963855,0.709097324774,0.795932112069,-1,-1
39,0.218279884051,0.921969126506,0.672457887695,0.817483836207,-1,-1
40,0.209163933544,0.922910391566,0.719682283443,0.806842672414,-1,-1
41,0.201892007142,0.926651920181,0.695940358885,0.815328663793,-1,-1
42,0.195219421916,0.929005082831,0.703278144372,0.816136853448,-1,-1
43,0.197310612773,0.927781438253,0.737842587048,0.811691810345,-1,-1
44,0.189606392487,0.93171121988,0.6674114625,0.818561422414,-1,-1
45,0.192960114768,0.931193524096,0.798838582532,0.79849137931,-1,-1
46,0.179923441676,0.935405685241,0.699687644839,0.815059267241,-1,-1
47,0.178049411939,0.935829254518,0.720630556859,0.813577586207,-1,-1
48,0.174450895469,0.936511671687,0.703075264548,0.817618534483,-1,-1
49,0.169268572456,0.939406061747,0.718276171335,0.821794181034,-1,-1
50,0.165547651789,0.940135542169,0.688094046095,0.819369612069,-1,-1
51,0.164946172297,0.940606174699,0.722447083942,0.814655172414,-1,-1
52,0.162796784473,0.941665097892,0.791131844808,0.802128232759,-1,-1
53,0.155790962234,0.943147590361,0.701812460505,0.814924568966,-1,-1
54,0.158310052557,0.943312311747,0.740492099832,0.817079741379,-1,-1
55,0.156691651185,0.943877070783,0.68109731222,0.825161637931,-1,-1
56,0.149341670718,0.945759600904,0.77654767653,0.807381465517,-1,-1
57,0.147867910912,0.947689194277,0.716517787041,0.821524784483,-1,-1
58,0.147752601799,0.947642131024,0.7269919453,0.820716594828,-1,-1
59,0.141652589978,0.949124623494,0.753473030082,0.816810344828,-1,-1
60,0.135245381462,0.951830760542,0.765538745399,0.817349137931,-1,-1
61,0.141288535434,0.949383471386,0.807833200899,0.799703663793,-1,-1
62,0.136282218744,0.951030685241,0.690257459365,0.8203125,-1,-1
63,0.135625345498,0.951360128012,0.801439556582,0.799434267241,-1,-1
64,0.134977513924,0.951148343373,0.742716678258,0.817887931034,-1,-1
65,0.129831223592,0.953736822289,0.750155152946,0.817079741379,-1,-1
66,0.125927764114,0.954795745482,0.907136914545,0.797279094828,-1,-1
67,0.128042649601,0.95453689759,0.767443462179,0.816810344828,-1,-1
68,0.123405974184,0.957666603916,0.69410958064,0.829471982759,-1,-1
69,0.12535815631,0.955289909639,0.694019311975,0.822332974138,-1,-1
70,0.122831547897,0.955642884036,0.712901784942,0.828394396552,-1,-1
71,0.121554413272,0.955595820783,0.761024163715,0.817349137931,-1,-1
72,0.123020679836,0.955807605422,0.699291914188,0.831357758621,-1,-1
73,0.11668567879,0.958843185241,0.759233372992,0.81411637931,-1,-1
74,0.114605103159,0.958654932229,0.737936870291,0.823679956897,-1,-1
75,0.114894480719,0.959149096386,0.794650891732,0.8125,-1,-1
76,0.112971444822,0.959502070783,0.775412320063,0.820985991379,-1,-1
77,0.106251719267,0.962396460843,0.756111004743,0.824084051724,-1,-1
78,0.104700623838,0.961737575301,0.774447127663,0.821794181034,-1,-1
79,0.108046655173,0.961243411145,0.796451817299,0.818561422414,-1,-1
80,0.11076448763,0.961243411145,0.865228202836,0.808997844828,-1,-1
81,0.101352112508,0.963573042169,0.845209522494,0.805765086207,-1,-1
82,0.105472095513,0.96234939759,0.750090001986,0.827047413793,-1,-1
83,0.106583192799,0.963125941265,0.792877737304,0.819234913793,-1,-1
84,0.106214697046,0.96241999247,0.754252339232,0.826104525862,-1,-1
85,0.101067835308,0.964467243976,0.805521918268,0.814924568966,-1,-1
86,0.0990559478425,0.964961408133,0.801517792817,0.820177801724,-1,-1
87,0.100371012077,0.963714231928,0.77586505485,0.824084051724,-1,-1
88,0.1015214125,0.963949548193,0.792445238808,0.825431034483,-1,-1
89,0.0941068210067,0.966279179217,0.816505023118,0.816540948276,-1,-1
90,0.0979343384437,0.965290850904,0.802938102648,0.816271551724,-1,-1
91,0.097662003161,0.965832078313,0.768002390862,0.820177801724,-1,-1
92,0.0980553121183,0.965290850904,0.795739647129,0.817753232759,-1,-1
93,0.0992994077885,0.965149661145,0.797581893103,0.820581896552,-1,-1
94,0.0899454914202,0.967385165663,0.757209547121,0.822198275862,-1,-1
95,0.0935780356234,0.966938064759,0.775914068366,0.819369612069,-1,-1
96,0.0926971013254,0.967126317771,0.765865237548,0.829067887931,-1,-1
97,0.0909282114491,0.96820877259,0.837780214589,0.81802262931,-1,-1
98,0.0869523405591,0.969526543675,0.786111325026,0.826239224138,-1,-1
99,0.0921697522253,0.96733810241,0.768207951866,0.824892241379,-1,-1
test set performance,-1,-1,-1,-1,0.744655625178,0.820512820513
